⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ preserve	♠v. 保护; 维持(原状); 保存		=►  pre- (之前) + serv- (保存)
⊙ conservation	♠n. (对自然环境的)保护; 保存		=►  con- (一起) + serv- (保存) + -ation (名词后缀)
⊙ bush fire	♠n. 林区大火		=►  bush (灌木) + fire (火)
⊙ extinguish	♠v. 熄灭, 扑灭; 使破灭;		=►  ex- (向外) + stingu- (刺)
⊙ destruct	♠v. 自毁; 破坏		=►  de- (向下) + struct- (建造)
⊙ ruin	♠v. 毁坏; 破坏; 使破产; n. 毁坏; 破产; 祸根; 废墟		=►
⊙ perish	♠v. 毁灭, 消亡; 腐烂		=►  per- (贯穿) + ish- (走)
⊙ demolish	♠v. 拆除; 毁坏, 破坏; 推翻		=►  de- (向下) + mol- (堆) + -ish (动词后缀)
⊙ infringe	♠v. 侵犯; 违反		=►  in- (在...里面) + fring- (打破)
⊙ undermine	♠v. 破坏; 逐渐削弱		=►  under (在...下面) + mine (挖矿)
⊙ extinction	♠n. 灭绝, 消亡		=►  ex- (向外) + stinct- (刺) + -ion (名词后缀)
⊙ pattern	♠n. 模式; 式样; 底样; 图案		=►
⊙ outcome	♠n. 结果		=►  out (外面) + come (来)
⊙ impact	♠n. 影响 v. 对…有影响		=►  im- (在...里面) + pact- (挤压)
⊙ seasonal	♠adj. 季节性的		=►  season (季节) + -al (形容词后缀)
⊙ experimental	♠adj. 实验的; 试验性的		=►  ex- (向外) + per- (尝试) + -iment (名词后缀) + -al (形容词后缀)
⊙ favourable	♠adj. 给人好印象的; 有利的; 赞成的; 肯定的		=►  favor- (赞成) + -able (可...的)
⊙ productive	♠adj. 多产的; 富有成效的		=►  pro- (向前) + duc- (引导) + -tive (形容词后缀)
⊙ effective	♠adj. 有效的; 实际的; 起作用的		=►  ef- (向外) + fect- (做) + -ive (形容词后缀)
⊙ efficient	♠adj. 效率高的		=►  ef- (向外) + fic- (做) + -ient (形容词后缀)
⊙ considerable	♠adj. 相当多的; 相当大的		=►  con- (一起) + sider- (星星) + -able (可...的)
⊙ massive	♠adj. 巨大的, 大规模的, 庞大的		=►  mass- (块) + -ive (形容词后缀)
⊙ immense	♠adj. 巨大的; 极大的		=►  im- (不) + mens- (测量)
⊙ maximal	♠adj. 最大的		=►  max- (最大) + -im- + -al (形容词后缀)
⊙ minimal	♠adj. 最小的; 极小的		=►  min- (最小) + -im- + -al (形容词后缀)
⊙ optimal	♠adj. 最优的; 最佳的; 最理想的		=►  opt- (选择, 最好) + -im- + -al (形容词后缀)
⊙ Chapter-3 动物保护	♠		=►
⊙ 单词	♠解释		=►
⊙ biologist	♠n. 生物学家		=►  bio- (生命) + log- (学问) + -ist (人)
⊙ zoologist	♠n. 动物学家		=►  zoo- (动物) + log- (学问) + -ist (人)
⊙ ecologist	♠n. 生态学家		=►  eco- (环境) + log- (学问) + -ist (人)
⊙ botanist	♠n. 植物学家		=►  botan- (植物) + -ist (人)
⊙ mammal	♠n. 哺乳动物		=►  mamm- (乳房) + -al (形容词后缀)
⊙ primate	♠n. 灵长目动物		=►  prim- (第一) + -ate (名词后缀)
⊙ vertebrate	♠n. 脊椎动物		=►  vertebr- (脊椎) + -ate (形容词后缀)
⊙ reptile	♠n, 爬行动物		=►  rept- (爬行) + -ile (形容词后缀)
⊙ amphibian	♠n. 两栖动物; 水陆两用车 adj. 两栖动物的; 水陆两用车的		=►  amphi- (双) + bio- (生命) + -an (形容词后缀)
⊙ carnivore	♠n. 食肉动物		=►  carn- (肉) + vor- (吃) + -e (名词后缀)
⊙ herbivore	♠n. 食草动物		=►  herb- (草) + vor- (吃) + -e (名词后缀)
⊙ creature	♠n. 生物, 动物		=►  creat- (创造) + -ure (名词后缀)
⊙ wildlife	♠n. 野生动物; 野生生物		=►  wild (野生的) + life (生命)
⊙ fauna	♠n. 动物群		=►  源自罗马神话中的动物女神 Fauna
⊙ flora	♠n. 植物群		=►  源自罗马神话中的花神 Flora
⊙ species	♠n. [单复数同形]物种		=►
⊙ flock	♠n. 鸟群; 兽群 v. 群聚; 蜂拥而至;		=►
⊙ herd	♠n. 兽群; 畜群;		=►
⊙ swarm	♠n. 蜂群, 一大群, 人群		=►
⊙ throng	♠n. 人群, 一大群人 v. 群集		=►
⊙ crowd	♠n. 人群; 观众; 一伙人		=►
⊙ beast	♠n. 野兽; 性情凶残的人; 讨厌鬼;		=►
⊙ brute	♠n. 畜生, 兽; 粗野的人; 残暴的人;		=►
⊙ cruel	♠adj. 残酷的; 残忍的; 残暴的;		=►
⊙ originate	♠v. 发源, 来自; 创始		=►  ori- (上升, 起源) + -gin- (产生) + -ate (动词后缀)
⊙ derive	♠v. 起源于, 来自; 获得;		=►  de- (向下) + riv- (溪流)
⊙ stem	♠v. 起源于, 来自 n. 茎, 梗		=►
⊙ ancestor	♠n. 祖宗, 祖先		=►  an- (在...之前) + cest- (走) + -or (人)
⊙ descendant	♠n. 后代, 后裔, 子孙		=►  de- (向下) + scend- (攀爬) + -ant (人)
⊙ offspring	♠n. [单复数同形]后代, 子孙; 产物		=►  off- (离开) + spring (跳跃, 产生)
⊙ subgroup	♠n. 子群, 小群		=►  sub- (在...下面) + group (团体)
⊙ feed	♠v. 供养; 喂, 饲养; 进食		=►
⊙ breed	♠v. 饲养; 繁殖 n. 品种; 各类		=►
⊙ interbreed	♠v. 异种交配, 混种, 杂种繁殖		=►  inter- (在...之间) + breed (繁殖)
⊙ hybridise	♠v. 杂交		=►  hybrid (杂交) + -ise (动词后缀)
⊙ proliferate	♠v. 迅速增殖; 剧增		=►  pro- (向前) + lifer- (后代) + -ate (动词后缀)
⊙ sterility	♠n. 不生育; 不孕		=►  steril- (不孕) + -ity (名词后缀)
⊙ mate	♠v. 交配 n. 配偶		=►
⊙ courtship	♠n. 求偶		=►  court (追求) + -ship (状态)
⊙ lay	♠v. 产(卵); 放置; 铺设		=►
⊙ hatch	♠v. n. 孵出; 孵化		=►
⊙ brood	♠n. 一窝幼鸟 v. 孵(蛋);		=►
⊙ spawn	♠n. (鱼、蛙等的)卵 v. 产卵; 引起		=►
⊙ mature	♠adj. 成熟的 v. 成熟		=►  mat- (成熟) + -ure (形容词后缀)
⊙ skin	♠n. 皮肤; 外皮		=►
⊙ claw	♠n. 爪; 钳; 螯; 爪状物		=►
⊙ paw	♠n. (动物的)脚掌, 爪子		=►
⊙ beak	♠n. 鸟喙, 鸟嘴		=► 词源同peck, 啄，拟声词。
⊙ fin	♠n. 鳍		=► 来自拉丁语pinna,羽毛，翅膀，词源同pen. 该词用来指鱼鳍。
⊙ wing	♠n. 翅膀, 翼		=►
⊙ plume	♠n. 羽毛		=► 来自拉丁语pluma,羽毛，绒毛，来自PIEpleus,拔，拉，羽毛，可能来自PIEpil,拔，毛发， 词源同pile,pluck,fleece.
⊙ feather	♠n. 羽毛		=► 来自PIEpet,展开，伸展，词源同fathom, compete.
⊙ fur	♠n. (动物的)皮毛; (用于制衣的)毛皮		=►
⊙ bristle	♠n. (猪等的)鬃毛, (刷子的)毛		=► 来自PIE bhars, 刺，硬毛。词源同barley, bur. 助记窍门：bristle→brush style（刷子的发型）→短而硬的毛→鬃毛
⊙ curl	♠n. 卷(发); 卷曲; 螺旋状物 v. (使)卷曲		=►
⊙ insect	♠n. 昆虫		=►  in- (在...里面) + sect- (切割)
⊙ worm	♠n. 蠕虫		=►
⊙ pest	♠n. 害虫; 有害动物		=►
⊙ parasite	♠n. 寄生虫		=►  para- (在旁边) + sit- (吃)
⊙ spider	♠n. 蜘蛛		=►
⊙ butterfly	♠n. 蝴蝶		=►  butter (黄油) + fly (飞)
⊙ mosquito	♠n. 蚊子		=►  源自西班牙语 mosquito (小苍蝇)
⊙ cricket	♠n. 蟋蟀		=►
⊙ penguin	♠n. 企鹅		=►
⊙ seal	♠n. 海豹; 图章; 封条 v. 密封		=►
⊙ tortoise	♠n. 陆龟		=►
⊙ turtle	♠n. 海龟		=►
⊙ whale	♠n. 鲸鱼 v. 捕鲸; 猛击		=►
⊙ kangaroo	♠n. 袋鼠		=►  源自澳大利亚土著语言
⊙ camel	♠n. 骆驼		=►
⊙ panda	♠n. 熊猫		=►  源自尼泊尔语
⊙ elephant	♠n. 象		=► ，源自希腊语 elephas
⊙ trunk	♠n. 象鼻		=►
⊙ ivory	♠n. 象牙		=►
⊙ horn	♠n. (牛/羊)角; (乐器)号		=►
⊙ bear	♠n. 熊		=►
⊙ wolf	♠n. 狼		=►
⊙ dragon	♠n. 龙; 悍妇, 母夜叉;		=►
⊙ fox	♠n. 狐狸; 狡猾的人; 狐皮;		=►
⊙ cub	♠n. 幼兽		=►
⊙ calf	♠n. 幼牛, 小牛; 幼兽		=►
⊙ pup	♠n. 幼小动物		=►
⊙ lamb	♠n. 小羊, 羔羊		=►
⊙ cattle	♠n. 牛		=►
⊙ ox	♠n. 公牛		=►
⊙ bull	♠n. 公牛		=►
⊙ buffalo	♠n. 水牛; 野牛		=►
⊙ horse	♠n. 马		=►
⊙ zebra	♠n. 斑马		=►
⊙ donkey	♠n. 驴, 傻瓜		=►
⊙ saddle	♠n. 马鞍		=►
⊙ harness	♠n. 马具, 挽具		=►
⊙ falcon	♠n. 猎鹰		=►
⊙ hawk	♠n. 鹰		=►
⊙ eagle	♠n. 雕		=►
⊙ owl	♠n. 猫头鹰		=►
⊙ swallow	♠n. 燕子		=►
⊙ sparrow	♠n. 麻雀		=►
⊙ pigeon	♠n. 鸽子		=►
⊙ crow	♠n. 乌鸦		=► 拟声词，模仿乌鸦的叫声。比较crane, cock.
⊙ swan	♠n. 天鹅		=►
⊙ goose	♠n. 鹅; 鹅肉		=►
⊙ cock	♠n. 公鸡; 雄禽		=►
⊙ mouse	♠n. 老鼠		=►
⊙ rat	♠n. 老鼠; 卑鄙的人		=►
⊙ squirrel	♠n. 松鼠		=►
⊙ hare	♠n. 野兔		=►
⊙ frog	♠n. 蛙		=►
⊙ behaviour	♠n. 行为; 态度; 行为方式;		=►  be- (使) + hav- (拥有) + -iour (名词后缀)
⊙ bite	♠v. n. 咬; 叮; 蛰;		=►
⊙ sting	♠v. 刺, 叮, 螫; n. 剌, 毒刺;		=►
⊙ bark	♠n. 狗叫声; 树皮; v. 狗叫; 吼叫;		=►
⊙ roar	♠n. v. 吼叫, 咆哮		=►
⊙ rub	♠v. 擦, 摩擦, 涂抹; n. 困难, 障碍		=►
⊙ creep	♠v. 缓慢地行进, 蹑手蹑脚地移动;		=►
⊙ crawl	♠v. 爬, 爬行; 卑躬屈膝, 巴结		=►
⊙ habitat	♠n. (动植物的)栖息地; 生活环境;		=►  habit- (居住) + -at (名词后缀)
⊙ nest	♠n. 巢, 窝, 穴		=►
⊙ hive	♠n. 蜂巢; 蜂箱; 蜂群; 喧闹地区;		=►
⊙ cell	♠n. 细胞; 蜂房巢室; 单人牢房		=►
⊙ cage	♠n. 笼子		=►
⊙ stable	♠n. 马厩; 牛棚 adj. 稳定的; 稳固的		=►
⊙ barn	♠n. 谷仓; 牲口棚		=►
⊙ hedge	♠n. 树篱; 障碍物		=►
⊙ barrier	♠n. 障碍; 屏障, 障碍物		=►  barr- (杆) + -ier (名词后缀)
⊙ bar	♠n. 栅, 栏杆; 条, 长块; 酒吧		=►
⊙ anatomy	♠n. 解剖学; 解剖; 剖析		=►  ana- (向上, 分开) + tom- (切) + -y (名词后缀)
⊙ epidemic	♠n. 流行病; 盛行 adj. 流行性的; 极为盛行的		=►  epi- (在...上) + dem- (人民) + -ic (形容词后缀)
⊙ gene	♠n. 基因		=►  gen- (产生)
⊙ germ	♠n. 细菌, 微生物		=►
⊙ bacteria	♠n. 细菌		=► ，源自希腊语 bakterion (小棍子)
⊙ virus	♠n. 病毒		=► ，源自拉丁语 virus (毒液)
⊙ microbe	♠n. 微生物		=►  micro- (微小) + bio- (生命)
⊙ metabolism	♠n. 新陈代谢		=►  meta- (变化) + bol- (投掷) + -ism (状态)
⊙ protein	♠n. 蛋白质		=►  prot- (第一) + -ein (名词后缀)
⊙ vitamin	♠n. 维生素		=►  vit- (生命) + amin- (氨)
⊙ secrete	♠v. 分泌		=►  se- (分开) + cret- (分辨)
⊙ excrete	♠v. 排泄; 分泌		=►  ex- (向外) + cret- (分辨)
⊙ devour	♠v. 吞食; 吞噬; 狼吞虎咽地吃;		=►  de- (完全) + vor- (吃)
⊙ instinct	♠n. 本能, 天性; 直觉		=►  in- (在...里面) + stinct- (刺)
⊙ intuitive	♠adj. 直觉的		=►  in- (在...里面) + tuit- (看) + -ive (形容词后缀)
⊙ potential	♠n. 潜力 adj. 潜在的		=►  pot- (力量) + -ent- + -ial (形容词后缀)
⊙ intelligence	♠n. 智慧, 智力, 智能; 情报, 谍报		=►  inter- (在...之间) + leg- (选择, 收集) + -ence (名词后缀)
⊙ functional	♠adj. 功能的; 起作用的		=►  funct- (履行) + -ion (名词后缀) + -al (形容词后缀)
⊙ sensitive	♠adj. 灵敏的; 过敏的; 敏感的		=►  sens- (感觉) + -itive (形容词后缀)
⊙ flexible	♠adj. 可弯曲的; 灵活的, 易变通的		=►  flex- (弯曲) + -ible (可...的)
⊙ acoustic	♠adj. 听觉的; 声音的		=►  acous- (听) + -tic (形容词后缀)
⊙ optical	♠adj. 光学的; 视觉的		=►  opt- (看, 眼睛) + -ical (形容词后缀)
⊙ nocturnal	♠adj. 夜间发生的; 夜间活动的		=►  noct- (夜晚) + -urnal (形容词后缀)
⊙ dormant	♠adj. 睡着的; 休眠的; 冬眠的		=►  dorm- (睡眠) + -ant (形容词后缀)
⊙ hibernation	♠n. 冬眠		=►  hibern- (冬天) + -ation (名词后缀)
⊙ track	♠v. 追踪 n. 足迹, 踪迹; 轨道		=►
⊙ trace	♠v. 追踪; 查出; 追溯 n. 痕迹; 少许		=►
⊙ alternate	♠n. 交替, 轮流;		=►  alter- (另一个) + -ate (动词后缀)
⊙ prey	♠n. 被捕食的动物; 猎物; 捕食 v. 捕食; 欺凌		=►
⊙ predator	♠n. 捕食者; 掠夺者;		=►  pre- (之前) + dat- (给予) + -or (人)
⊙ victim	♠n. 受害者; 牺牲者; 遇难者		=►
⊙ captive	♠n. 俘虏; adj. 被监禁的, 被关押的		=►  capt- (拿住) + -ive (形容词后缀)
⊙ defensive	♠adj. 防御性的		=►  de- (向下) + fens- (打击) + -ive (形容词后缀)
⊙ undergo	♠v. 经历; 承受;		=►  under (在...下面) + go (走)
⊙ suffer	♠v. 受苦; 忍受; 变差;		=►  suf- (在...下面) + fer- (带)
⊙ vulnerable	♠adj. 脆弱的; 易受伤的; 易受影响的		=►  vulner- (伤害) + -able (可...的)
⊙ subsistence	♠n. 勉强维持生活, 存活; 生计		=►  sub- (在...下面) + sist- (站立) + -ence (名词后缀)
⊙ exist	♠v. 存在; 生存		=►  ex- (向外) + sist- (站立)
⊙ exterminate	♠v. 消灭, 根除		=►  ex- (向外) + termin- (边界) + -ate (动词后缀)
⊙ tame	♠v. 驯服; 制服 adj. 驯服的; 乏味的		=►
⊙ keeper	♠n. 看守人; 饲养员		=►  keep (保持) + -er (人)
⊙ shepherd	♠n. 牧羊人, 羊倌; 牧师		=►  sheep (绵羊) + herd (放牧)
⊙ Chapter-4 太空探索	♠		=►
⊙ 单词	♠解释		=►
⊙ galaxy	♠n. 星系; 银河系		=► - galaxy：词根“galax-”源自希腊语“galaxias”（ Milky Way，银河），因最初指银河系，后扩展为“星系”，词根直接对应其核心所指的天体系统，故形成“星系”之意。
⊙ cosmos	♠n. 宇宙		=► - cosmos：词根“cosm-”源于希腊语“kosmos”（秩序、宇宙），古人认为宇宙是有秩序的整体，该词根承载“有序整体”的含义，因此衍生出“宇宙”之意。
⊙ universe	♠n. 宇宙; 万物, 世界		=► - universe：由前缀“uni-”（单一、统一）和词根“vers-”（转向、包含）构成，“uni-”表“整体统一”，“vers-”表“涵盖所有”，二者结合体现“包含所有事物的统一整体”，即“宇宙”之意。
⊙ interstellar	♠adj. 星际的		=► - interstellar：前缀“inter-”（在……之间）+词根“stell-”（星星，源自拉丁语“stella”），“inter-”明确空间关系“在……之间”，“stell-”指向“星星”，组合后表示“在星星之间的”，即“星际的”之意。
⊙ terrestrial	♠adj. 陆地的; 地球的		=► - terrestrial：词根“terr-”（土地、地球，源自拉丁语“terra”）+后缀“-estrial”（与……相关的），“terr-”核心为“地球/土地”，“-estrial”表属性，故指“与地球或土地相关的”，即“地球的；陆地的”之意。
⊙ celestial	♠adj. 天上的		=► - celestial：词根“celest-”（天空的，源自拉丁语“caelestis”，来自“caelum”天空），直接承载“与天空相关”的含义，因此表示“天空的；天体的”之意。
⊙ astronomy	♠n. 天文学		=► - astronomy：词根“astron-”（星星，希腊语“astron”）+词根“-nomy”（学科、规律，希腊语“nomos”法则），“astron-”指向研究对象“星星”，“-nomy”表“研究规律的学科”，组合后为“研究星星规律的学科”，即“天文学”之意。
⊙ astrology	♠n. 占星术; 占星学; 原始天文学		=► - astrology：词根“astron-”（星星）+词根“-logy”（学说、研究，希腊语“logos”话语、学说），“astron-”指“星星”，“-logy”表“关于……的学说”，因古代认为星星与人事相关，故为“占星学”之意。
⊙ astronaut	♠n. 宇航员		=► - astronaut：词根“astron-”（星星）+词根“-naut”（航行者，源自希腊语“nautes”水手），“astron-”指向“星际空间”，“-naut”表“航行者”，组合后表示“在星际空间航行的人”，即“宇航员”之意。
⊙ comet	♠n. 彗星		=► - comet：直接源自拉丁语“cometes”，词根“com-”（毛发，希腊语“kome”），因彗星有长长的彗尾形似毛发，该词根体现其“带毛发状尾”的特征，故形成“彗星”之意。
⊙ meteorite	♠n. 陨石		=► - meteorite：词根“meteor-”（流星，源自希腊语“meteoros”空中的）+后缀“-ite”（表“岩石、矿物”），“meteor-”指“流星”，“-ite”明确其“岩石属性”，故指“从流星而来的岩石”，即“陨石”之意。
⊙ crater	♠n. (撞击或爆炸形成的)坑		=► - crater：源自拉丁语“crater”（酒碗，希腊语“krater”），因火山口或陨石坑的形状与古代酒碗相似，词根借“碗状”特征指代“坑状结构”，故形成“火山口；陨石坑”之意。
⊙ dust	♠n. 尘土, 灰尘, 粉尘		=► - dust：无明确复杂词根词缀，源自古英语“dust”，直接指代“微小的土粒或粉末状物质”，核心含义通过词汇本身传承，即“灰尘；尘埃”之意。
⊙ ash	♠n. 灰烬		=► - ash：源自古英语“æsc”，最初指“梣树”，后因梣树燃烧后的灰烬易被关注，词义转移为“燃烧后的粉末”，无复杂词根变化，直接形成“灰烬”之意。
⊙ envelope	♠n. 外层, 信封; 封皮; 包裹物;		=► - envelope：词根“velop-”（包裹、覆盖，源自拉丁语“velopere”包裹）+前缀“en-”（使……，加强动作），“en-”加强“包裹”动作，“velop-”表“覆盖包裹”，故指“用于包裹东西的纸张”，即“信封”之意。
⊙ chunk	♠n. 厚块		=► - chunk：无明确古典词根词缀，属于拟声或描述性词汇，模拟“块状物体”的形态特征，直接表示“厚块；大块”之意。
⊙ spacecraft	♠n. 宇宙飞船		=► - spacecraft：由“space”（太空）和“craft”（飞行器、船只）组合而成，“space”明确活动领域“太空”，“craft”指“载人/物的交通工具”，组合后为“在太空运行的交通工具”，即“宇宙飞船”之意。
⊙ spaceship	♠n. 宇宙飞船		=► - spaceship：“space”（太空）+“ship”（船），类比“在海上航行的船”，“spaceship”指“在太空中航行的‘船’”，通过组合直接体现“太空船”之意。
⊙ probe	♠n. 太空探测器; 调查		=► - probe：源自拉丁语“probare”（测试、探索），词根“prob-”（测试、探查），直接承载“深入探索、测试”的动作含义，故指“用于探索或测试的设备”，即“探测器”之意（也可作动词“探查”）。
⊙ module	♠n. 模块; 组件; (宇宙飞船上各个独立的)舱		=► - module：源自拉丁语“modulus”（小尺度、模块），词根“mod-”（尺度、模式）+指小后缀“-ule”，“mod-”表“有固定尺度/模式”，“-ule”表“小的”，故指“具有固定模式的小型单元”，即“模块”之意。
⊙ propulsion	♠n. 推进力; 推进		=► - propulsion：词根“puls-”（推动，源自拉丁语“pellere”推动，过去分词“pulsus”）+前缀“pro-”（向前），“pro-”表方向“向前”，“puls-”表“推动”动作，组合后为“向前推动的力量”，即“推进；推进力”之意。
⊙ pressure	♠n. 压力		=► - pressure：词根“press-”（压，源自拉丁语“premere”压）+后缀“-ure”（表抽象名词，指动作或结果），“press-”是核心动作“压”，“-ure”将动作转化为抽象概念“压力”，故形成“压力”之意。
